seg_0000.wav|Добрый день. Театр «Кукул-Голивер», добрый день. Привет, скажите, пожалуйста, а могу ли я переговорить с отделом организации концертов и театральных программ?
seg_0001.wav|и до человека занимается с отделом закупа.
seg_0002.wav|Сейчас я соображу структурное подразделение, объединение театральной концерты. Туда надо звонить КТКО. Нет? Да, можно и туда, и свой телефон не подскажете КТКО.
seg_0003.wav|А я с ними не созваниваюсь, мы так не будем пешком. Вы только что предложили ваш номер из фармонии вашего города? Я администратор. Я просто администратор. А телефон скинулась. Как зовут директора Театра Кукол?
seg_0004.wav|Директор, она худруку на ставке директоров нету, потому что директор в объединении. Худрочный руководитель Белова Ирина Владимировна. 46, 168.
seg_0005.wav|Два. Как Людмила Владимировна? Ирина.
seg_0006.wav|Ирина, Ирина Боги и мировна
seg_0007.wav|46-62
seg_0008.wav|Благодарю вас. Скажите, а кот был? А кот пурган какой-нибудь?
seg_0009.wav|Трицать пять, двадцать два. Трицать пять, двадцать два, сорок шесть, шесть два, двести, шесть два. Все правильно?
seg_0010.wav|Пожалуйста, дождитесь ответа оператора или наберите добавочный номер сотрудника. По кончане набора нажмите решетку.
seg_0011.wav|Субтитры субтитры субтитры субтитры
seg_0013.wav|Позвать программу. Могу ли слушать стрим, Вадим Ивановна?
seg_0014.wav|А кто спрашивает о том, что не отсоединяется с обещаниями? А если вы заняты обгопления, беспокойтесь в Екатернбурге, компания Мультимедиа видит система.
seg_0015.wav|Ну а почему Сирена Владимировна? Потому что я так понял, что Сирена Владимировна возглавляет и обязанности директора, как я понимаю, совмещает с театр «Кукол». Я попробовал позвонить сначала по общему номеру, повеселился администратором, сказали, что это лучше разговаривает с Сиреной Владимировной.
seg_0016.wav|А после этого он никого не обратится. Юлия Владимировна из Феврормонии.
seg_0017.wav|У нас, я, не буду чему, я с Лириной Владимирович, я говорю, это вы.
seg_0018.wav|Нет, нет, нет, нет, нет, нет. Я помощник художественного руководителя Оксана Петровна. Я поэтому и уточняю, что вы хотите, вот вообще суть хочу понять. А, пожалуйста, Оксана, как участвуете? Петровна. Оксана Петровна, сейчас запишу. Оксана Петровна. Оксана Петровна, значит, вот какая ситуация. Мы с курганским театрально...
seg_0019.wav|Ну, в общем-то, с Вашим КТТО, мы сотрудничали с КТКО. А значит, для театров, не для театров, для филармонии Кургана, наша компания разработала с сайтами.
seg_0020.wav|И, громе того, внезрил этот сайт по штуческой картов. Неважно, как этот его вот.
seg_0021.wav|Наш генеральный директор завтра будет вместе с нашим главным инженером в ваших городе после рабочих делов.
seg_0022.wav|и попросил меня, кроме встречи филармонии, которые у нас удача ждут, попробовать организовать встречи с предприятиями, которые в КТТО входят.
seg_0023.wav|Вот ваш театр прекрасный кукол, насколько я понимаю, прекрасно входит с него.
seg_0024.wav|И возможно ли нам с кем-то встретиться из вашего театра? Ну, допустим, с Ириной Владимировной, да? Вот с ней навряд ли. Я думаю, что вам, наверное, тот, кто именно занимается, курирует у нас сайты и все прочее, Вадим Александрович. Все скорее, что с ним, наверное, она скажет.
seg_0025.wav|Ну давайте тогда, может быть, вы не дадите контакт, Вадим Александрович, чтобы я ему позвонил и договорился о встрече.
seg_0026.wav|Так, так, так, так, сейчас секунду, я поищу номер телефона.
seg_0027.wav|Да, да, да, Вадим Александрович.
seg_0028.wav|А кто вас вообще возгуляет?
seg_0029.wav|Антибина Виктора Николаевич, генеральный директор.
seg_0030.wav|У них тоже Алипатов занимаются с файтом. Я не знаю, конечно, художественным руководителем передам. Записывайте 8,961. Секунду 8,961.
seg_0031.wav|8-2, 8-2, 8-2. Скажите, пожалуйста, Ксана Петровна, я могу сказать, что этот номер его прямой вы мне предоставили? Конечно, конечно. Он понимает, он раз занимается сайтом нашим, значит, он ответит вам об этом. Я бы очень хотел, конечно, с Вадимом Александровичем переговорить, и чтобы встречи нам не отказали, а раз уж мы вас там будем. Конечно, конечно. Давайте вы ему все объясните, вы на доступном языке будете с ним разговаривать, он уже художественному руководителю подойдет и все еще раз тоже нам объяснит, хорошо? Так, хорошо, Ксана Петровна, скажите, пожалуйста, я позвоню в гулевер, а если у вас телефон контакта подобного, значит, от Антибина, который возглавляет КТТО, чтобы я попробую еще и с ним поговорить. Приемная генерального тенна… Так, Антибин.
seg_0032.wav|Николаевич, Николаевич, приемная!
seg_0033.wav|46-23-90, это секретарь Марина Константинова будет. Тефон запишет секретарь Марина Константинова. А вот вы сказали, что он именно есть и некий еще господин, который занимается как раз этой всей цифрой. Ну да, Липатов Липатов. Я думаю, что Иван Вспиреноправит на него Артем Александрович, он у него программист. Я думаю, что он тоже.
seg_0034.wav|Александрович. Благодарю вас, Александр Петрович. Сильно помогли. Я сейчас тогда звоню сначала Вадиму Александровичу, на номер 2, а потом перейду к Антибину, Виктору Николаевичу. И еще, значит, это у меня директор КТТО. Чудесно.
seg_0035.wav|Так, ну, а скажите, пожалуйста, имеет ли мне смысл у вас узнать телефон драм-театра Шадринской Кургана?
seg_0036.wav|Так, Шадринск, Курган, Курган, смотрю. Так, Курганский драмтеатр, пишите 46. Шурган, Курган.
seg_0037.wav|35-22-46
seg_0038.wav|21-23, Адринская, там тоже секретарь Любовь Николаевна, она вас направит, я у них точно не знаю этого айтишника. Вот сейчас у меня зашел как раз Вадим Александрович, вы можете меня поговорить.
seg_0039.wav|Вадим Рассадович, приветствуем вас. Мы разработали для вашего Каттула сайт и пытались подключить не пытались, а вынедрилит туда пушекскую карту.
